intgeocode,intgeoname,intgeography_2001_id,latitude,longitude
S02000044,Oldmachar East,44,57.1907,-2.1184
S02000045,Oldmachar West,45,57.197,-2.1493
S02000046,Denmore,46,57.206,-2.0958
S02000047,Dyce,47,57.2106,-2.2305
S02000048,Mearns South and Benholm,48,56.8033,-2.4913
S02000049,Mearns and Laurencekirk,49,56.8523,-2.5176
S02000050,Mearns North and Inverbervie,50,56.8941,-2.4045
S02000051,Stonehaven South,51,56.9632,-2.2179
S02000052,Stonehaven North,52,56.9704,-2.2263
S02000053,"Fetteresso, Netherley and Catter",53,56.9731,-2.2835
S02000054,Aboyne and South Deeside,54,57.009,-2.7194
S02000055,Newtonhill,55,57.0329,-2.1512
S02000056,East Cairngorms,56,57.0459,-3.3224
S02000057,Banchory,57,57.056,-2.4882
S02000058,Portlethen,58,57.0578,-2.1418
S02000059,Banchory-Devenick and Findon,59,57.0836,-2.1338
S02000060,Crathes and Torphins,60,57.0977,-2.5602
S02000061,"Dunecht, Durris and Drumoak",61,57.1015,-2.4022
S02000062,Garlogie and Elrick,62,57.1503,-2.3521
S02000063,Westhill Central,63,57.1529,-2.2835
S02000064,Westhill North and South,64,57.1561,-2.3066
S02000065,Cromar and Kildrummy,65,57.1889,-2.8749
S02000066,Kintore and Blackburn,66,57.2338,-2.3369
S02000067,Kemnay,67,57.2365,-2.4442
S02000068,Howe of Alford,68,57.2402,-2.6011
S02000069,Balmedie and Potterton,69,57.2497,-2.1107
S02000070,Newmachar and Fintray,70,57.2554,-2.2127
S02000071,Inverurie South,71,57.28,-2.3748
S02000072,Inverurie North,72,57.2896,-2.3926
S02000073,Durno-Chapel of Garioch,73,57.2949,-2.443
S02000074,Barrahill,74,57.3406,-2.3366
S02000075,Ythsie,75,57.3583,-2.2011
S02000076,Ellon East,76,57.3642,-2.0695
S02000077,Ellon West,77,57.3686,-2.0881
S02000078,Ythanside,78,57.3768,-2.0255
S02000079,"Insch, Oyne and Ythanwells",79,57.3858,-2.5878
S02000080,Clashindarroch,80,57.3967,-2.8163
S02000081,Fyvie-Rothie,81,57.4243,-2.3729
S02000082,Cruden,82,57.4333,-1.8823
S02000083,Huntly,83,57.447,-2.7882
S02000084,Auchnagatt,84,57.4675,-2.1241
S02000085,Peterhead Links,85,57.4937,-1.7986
S02000086,Peterhead Bay,86,57.5042,-1.7983
S02000087,Auchterless and Monquhitter,87,57.5069,-2.5265
S02000088,Peterhead Harbour,88,57.5085,-1.7847
S02000089,Peterhead Ugieside,89,57.5124,-1.8091
S02000090,Mintlaw,90,57.5232,-2.0082
S02000091,Turriff,91,57.5393,-2.4597
S02000092,Longside and Rattray,92,57.5463,-1.9036
S02000093,Deer and Mormond,93,57.5532,-2.1233
S02000094,New Pitsligo,94,57.5878,-2.2543
S02000095,Aberchirder and Whitehills,95,57.5998,-2.6005
S02000096,Gardenstown and King Edward,96,57.6232,-2.3986
S02000097,"Portsoy, Fordyce and Cornhill",97,57.6311,-2.7162
S02000098,Rosehearty and Strathbeg,98,57.6535,-2.03
S02000099,Banff,99,57.6644,-2.5291
S02000100,Macduff,100,57.6681,-2.4907
S02000101,Fraserburgh Smiddyhill,101,57.6818,-2.0136
S02000102,Fraserburgh Lochpots,102,57.6881,-2.0297
S02000103,Fraserburgh Central-Academy,103,57.6882,-2.0151
S02000104,Fraserburgh Harbour and Broadsea,104,57.6934,-2.0119
S02000105,Monifieth West,105,56.4797,-2.8348
S02000106,Monifieth East,106,56.4849,-2.8195
S02000107,Carnoustie West,107,56.4988,-2.7329
S02000108,Carnoustie East,108,56.5054,-2.7044
S02000109,Monikie,109,56.5186,-2.7873
S02000110,South Angus,110,56.5167,-3.0473
S02000111,Arbroath Keptie,111,56.5584,-2.5998
S02000112,Arbroath Harbour,112,56.5598,-2.5828
S02000113,Arbroath Kirkton,113,56.5625,-2.6098
S02000114,Arbroath Cliffburn,114,56.568,-2.5708
S02000115,Arbroath Warddykes,115,56.5716,-2.5864
S02000116,Letham and Glamis,116,56.6129,-2.8753
S02000117,Kirriemuir Landward,117,56.6281,-3.0651
S02000118,Forfar West,118,56.6385,-2.9016
S02000119,Forfar Central,119,56.6425,-2.883
S02000120,Forfar East,120,56.6508,-2.8792
S02000121,Lunan,121,56.6542,-2.5262
S02000122,Friockheim,122,56.6548,-2.6753
S02000123,Kirriemuir,123,56.6773,-3.0061
S02000124,Montrose South,124,56.7109,-2.4597
S02000125,Montrose North,125,56.7227,-2.4684
S02000126,Brechin East,126,56.7306,-2.6473
S02000127,Brechin West,127,56.7354,-2.6807
S02000128,Hillside,128,56.7479,-2.5282
S02000129,Angus Glens,129,56.8187,-3.0177
S02000130,Campbeltown,130,55.4232,-5.6071
S02000131,Kintyre Trail,131,55.6105,-5.5781
S02000132,Bute,132,55.8309,-5.1008
S02000133,Rothesay Town,133,55.8371,-5.0436
S02000134,Whiskey Isles,134,55.8636,-6.1029
S02000135,Dunoon,135,55.9449,-4.9367
S02000136,Hunter's Quay,136,55.9733,-4.9543
S02000137,Cowal South,137,55.9767,-5.1724
S02000138,Helensburgh East,138,55.9999,-4.7121
S02000139,Helensburgh Centre,139,56.0054,-4.7306
S02000140,Helensburgh North,140,56.0113,-4.7249
S02000141,Helensburgh West and Rhu,141,56.0244,-4.7771
S02000142,Greater Lochgilphead,142,56.0265,-5.4098
S02000143,Garelochhead,143,56.0588,-4.8156
S02000144,Lomond Shore,144,56.0625,-4.6933
S02000145,Mid Argyll,145,56.0734,-5.4697
S02000146,Cowal North,146,56.1705,-4.9108
S02000147,Loch Awe,147,56.3784,-5.0788
S02000148,Oban South,148,56.399,-5.5291
S02000149,Oban North,149,56.4202,-5.4723
S02000150,Benderloch Trail,150,56.4822,-5.3105
S02000151,"Mull, Iona, Coll and Tiree",151,56.4636,-6.1291
S02000152,"Clackmannan, Kennet and Forestmill",152,56.1111,-3.7167
S02000153,Alloa South and East,153,56.1124,-3.7927
S02000154,Alloa West,154,56.1161,-3.8093
S02000155,Sauchie,155,56.1263,-3.7598
S02000156,Tullibody South,156,56.1252,-3.8498
S02000157,Alloa North,157,56.129,-3.8092
S02000158,"Fishcross, Devon Village and Coalsnaughton",158,56.1431,-3.7419
S02000159,Tullibody North and Glenochil,159,56.142,-3.8193
S02000160,Menstrie,160,56.147,-3.8501
S02000161,Dollar and Muckhart,161,56.1736,-3.6463
S02000162,Alva,162,56.1737,-3.8069
S02000163,Tillicoultry,163,56.176,-3.7346
S02000164,Machars South,164,54.7879,-4.4511
S02000165,Kirkmaiden,165,54.8091,-4.958
S02000166,Kirkcudbright,166,54.8425,-3.971
S02000167,Dalbeattie,167,54.9188,-3.7476
S02000168,Castle Douglas,168,54.9224,-3.9127
S02000169,Stranraer Central,169,54.9027,-5.0194
S02000170,Stranraer West,170,54.9083,-5.0405
S02000171,Moors,171,54.9247,-4.7421
S02000172,Portpatrick,172,54.918,-5.1062
S02000173,Fleet,173,54.9598,-4.2021
S02000174,Annan South,174,54.9788,-3.2443
S02000175,New Abbey,175,54.9833,-3.7018
S02000176,Gretna and Eastriggs,176,55.0041,-3.1078
S02000177,Annan North,177,55.0123,-3.2143
S02000178,Lower Annandale and South East Dumfries,178,55.0362,-3.4259
S02000179,Cree Valley,179,55.0271,-4.4919
S02000180,Dumfries South,180,55.0445,-3.5894
S02000181,Georgetown,181,55.0615,-3.5771
S02000182,Rotchell and Rosefield,182,55.0624,-3.6139
S02000183,Dumfries West,183,55.0688,-3.6667
S02000184,Dumfries East,184,55.0734,-3.5811
S02000185,Summerville,185,55.0728,-3.6291
S02000186,Nithside and Nunholm,186,55.0754,-3.61
S02000187,Lincluden and Lochside,187,55.0854,-3.6335
S02000188,Locharbriggs,188,55.0932,-3.5814
S02000189,Catherinefield,189,55.1034,-3.5799
S02000190,Boreland and Ecclefechan,190,55.1391,-3.1961
S02000191,Lower Nithsdale,191,55.1428,-3.7266
S02000192,Lochmaben and Parkgate,192,55.1656,-3.5167
S02000193,Crocketford and Carsphairn,193,55.1721,-4.0658
S02000194,Lockerbie and Mid Annandale,194,55.1844,-3.3987
S02000195,Langholm and Canonbie,195,55.1894,-3.0053
S02000196,Mid Nithsdale,196,55.2692,-3.7411
S02000197,Moffat and Eskdalemuir,197,55.3218,-3.3524
S02000198,Upper Nithsdale,198,55.3816,-3.943
S02000199,Perth Road,199,56.4567,-2.9847
S02000200,Westend,200,56.4568,-3.0159
S02000201,City Centre,201,56.4624,-2.9775
S02000202,Logie and Blackness,202,56.4642,-2.9942
S02000203,Docks and Wellgate,203,56.4648,-2.9598
S02000204,Balgay,204,56.467,-3.0144
S02000205,Menzieshill,205,56.4683,-3.0383
S02000206,Broughty Ferry Wes,206,56.4702,-2.8772
S02000207,Craigie and  Craigiebank,207,56.4699,-2.9288
S02000208,Stobswell,208,56.4706,-2.9586
S02000209,Law,209,56.4712,-2.9899
S02000210,West Ferry,210,56.4726,-2.8993
S02000211,Hilltown,211,56.4724,-2.9755
S02000212,Barnhill,212,56.4748,-2.853
S02000213,Broughty Ferry East,213,56.4758,-2.8694
S02000214,Lochee,214,56.4748,-3.0179
S02000215,Baxter Park,215,56.4755,-2.9506
S02000216,Charleston,216,56.4749,-3.0381
S02000217,The Glens,217,56.477,-2.9688
S02000218,Douglas East,218,56.479,-2.8991
S02000219,Fairmuir,219,56.4787,-2.9959
S02000220,Western Edge,220,56.4786,-3.0542
S02000221,Linlathen and Midcraigie,221,56.4809,-2.9348
S02000222,Douglas West,222,56.483,-2.916
S02000223,Caird Park,223,56.486,-2.9677
S02000224,West Pitkerro,224,56.4873,-2.8745
S02000225,Ardler and St Marys,225,56.4873,-3.0153
S02000226,Whitfield,226,56.4906,-2.927
S02000227,Downfield,227,56.4915,-3.0022
S02000228,Kirkton,228,56.493,-2.9865
S02000229,Fintry,229,56.4952,-2.9407
S02000230,Doon Valley South,230,55.3031,-4.3755
S02000231,Doon Valley North,231,55.381,-4.5173
S02000232,New Cumnock,232,55.3938,-4.1829
S02000233,Drongan,233,55.4337,-4.4626
S02000234,Cumnock South and Craigens,234,55.446,-4.2554
S02000235,Mauchline Rural,235,55.4528,-4.4035
S02000236,Cumnock North,236,55.4562,-4.2685
S02000237,Cumnock Rural,237,55.4612,-4.1726
S02000238,Auchinleck,238,55.471,-4.2945
S02000239,Mauchline,239,55.5152,-4.3799
S02000240,Shortlees,240,55.5855,-4.4969
S02000241,Bellfield and Kirkstyle,241,55.5918,-4.4868
S02000242,Galston,242,55.5992,-4.3819
S02000243,Kilmarnock South Central and Caprington,243,55.5981,-4.4931
S02000244,Earlston and Hurlford Rural,244,55.6004,-4.4552
S02000245,"Grange, Howard and Gargieston",245,55.6026,-4.5169
S02000246,Newmilns,246,55.6068,-4.3287
S02000247,Darvel,247,55.611,-4.2822
S02000248,Piersland,248,55.6073,-4.4848
S02000249,Crosshouse and Gatehead Rural,249,55.6085,-4.5575
S02000250,Bonnyton and Town Centre,250,55.6112,-4.5074
S02000251,New Farm Loch South,251,55.6134,-4.4789
S02000252,"Altonhill South, Longpark and Hillhead",252,55.6183,-4.5005
S02000253,Dean and New Farm Loch North,253,55.621,-4.4794
S02000254,Altonhill North and Onthank,254,55.6275,-4.4986
S02000255,Southcraig and Beansburn,255,55.6314,-4.4851
S02000256,Kilmaurs Rural,256,55.6366,-4.522
S02000257,Northern and Irvine Valley Rural,257,55.6559,-4.3888
S02000258,Stewarton West,258,55.6811,-4.5233
S02000259,Stewarton East,259,55.6826,-4.5103
S02000260,Auchinairn,260,55.9001,-4.2147
S02000261,Woodhill East,261,55.9038,-4.1941
S02000262,Woodhill West,262,55.9072,-4.2069
S02000263,Westerton East,263,55.9065,-4.328
S02000264,Bishopbriggs West and Cadder,264,55.9114,-4.2214
S02000265,Westerton West,265,55.9097,-4.3411
S02000266,Kessington East,266,55.9121,-4.3071
S02000267,Lenzie South,267,55.9175,-4.1428
S02000268,Bishopbriggs North and Kenmure,268,55.9176,-4.2377
S02000269,Kessington West,269,55.9165,-4.3206
S02000270,Lenzie North,270,55.9245,-4.1806
S02000271,South Castlehill and Thorn,271,55.9221,-4.3564
S02000272,Kilmardinny West,272,55.9256,-4.3335
S02000273,Kilmardinny East,273,55.9275,-4.3205
S02000274,Rosebank and Waterside,274,55.9317,-4.1016
S02000275,Kirkintilloch South,275,55.9313,-4.1451
S02000276,North Castlehill and Thorn,276,55.9332,-4.346
S02000277,Hillhead,277,55.939,-4.1406
S02000278,Torrance and Balmore,278,55.9427,-4.231
S02000279,Keystone and Dougalston,279,55.9418,-4.287
S02000280,Harestanes,280,55.9452,-4.1343
S02000281,Kirkintilloch West,281,55.9463,-4.1534
S02000282,Barloch,282,55.9458,-4.3104
S02000283,Twechar and Harestanes East,283,55.954,-4.0821
S02000284,East Clober and Mains Estate,284,55.9523,-4.3261
S02000285,West Clober and Mains Estate,285,55.9555,-4.37
S02000286,Milton of Campsie,286,55.9686,-4.1394
S02000287,Lennoxtown,287,55.9897,-4.2155
S02000288,IZ One,288,55.8967,-2.7427
S02000289,IZ Two,289,55.8962,-2.9181
S02000290,IZ Three,290,55.923,-3.0305
S02000291,IZ Four,291,55.93,-2.9675
S02000292,IZ Five,292,55.9354,-3.0559
S02000293,IZ Six,293,55.9409,-3.0733
S02000294,IZ Seven,294,55.9423,-3.0409
S02000295,IZ Eight,295,55.943,-2.9462
S02000296,IZ Nine,296,55.9451,-3.0546
S02000297,IZ Ten,297,55.9479,-2.9817
S02000298,IZ Eleven,298,55.9543,-2.7755
S02000299,IZ Twelve,299,55.9571,-2.792
S02000300,IZ Thirteen,300,55.9567,-2.9755
S02000301,IZ Fourteen,301,55.9569,-2.9908
S02000302,IZ Fifteen,302,55.966,-2.5625
S02000303,IZ Sixteen,303,55.9699,-2.935
S02000304,IZ Seventeen,304,55.9816,-2.8676
S02000305,IZ Eighteen,305,55.9951,-2.5077
S02000306,IZ Nineteen,306,56.0014,-2.5312
S02000307,IZ Twenty,307,56.0181,-2.7825
S02000308,IZ Twenty One,308,56.0322,-2.7327
S02000309,IZ Twenty Two,309,56.0578,-2.7378
S02000310,Eaglesham and Waterfoot,310,55.7186,-4.2877
S02000311,Mearnskirk and South Kirkhill,311,55.7465,-4.3766
S02000312,North Kirkhill,312,55.7733,-4.2945
S02000313,"Mearns Village, Westacres and Greenfarm",313,55.7747,-4.3437
S02000314,West Neilston and Uplawmoor,314,55.7732,-4.4641
S02000315,Busby,315,55.7798,-4.2627
S02000316,Whitecraigs and Broom,316,55.7804,-4.3144
S02000317,Clarkston and Sheddens,317,55.7854,-4.2823
S02000318,Crookfur and Fruin,318,55.7843,-4.3483
S02000319,Williamwood,319,55.79,-4.2935
S02000320,Stamperland,320,55.7935,-4.2726
S02000321,West Arthurlie and North Neilston,321,55.7922,-4.4027
S02000322,Auchenback,322,55.794,-4.3753
S02000323,Lower Whitecraigs and South Giffnock,323,55.7956,-4.2988
S02000324,South Thornliebank and Woodfarm,324,55.8025,-4.312
S02000325,Netherlee,325,55.8038,-4.2705
S02000326,Merrylee and Braidbar,326,55.8048,-4.2859
S02000327,North Giffnock and North Thornliebank,327,55.807,-4.3016
S02000328,"Dunterlie, East Arthurlie and Dovecothall",328,55.8087,-4.384
S02000329,Cross Stobbs,329,55.8089,-4.3974
S02000330,Balerno,330,55.8666,-3.3661
S02000331,Bonaly and Pentlands,331,55.8886,-3.2666
S02000332,South East Bypass,332,55.8985,-3.1425
S02000333,"Gracemount, Southouse and Burdiehouse",333,55.9022,-3.1578
S02000334,Mortonhall,334,55.9037,-3.1767
S02000335,Fairmilehead,335,55.9038,-3.1993
S02000336,Comiston and Swanston,336,55.9038,-3.2176
S02000337,Currie East,337,55.9035,-3.3026
S02000338,Hyvots and Gilmerton Dykes,338,55.9052,-3.1419
S02000339,Currie West,339,55.9059,-3.3297
S02000340,Baberton and Juniper Green,340,55.9082,-3.2851
S02000341,Oxgangs and Firrhill,341,55.9104,-3.2266
S02000342,Liberton East,342,55.9114,-3.1503
S02000343,"Ferniehill,  South Moredun and Craigour",343,55.9124,-3.1326
S02000344,Colinton and Kingsknowe,344,55.9117,-3.2522
S02000345,Moredun,345,55.9142,-3.1407
S02000346,Liberton West,346,55.914,-3.1708
S02000347,Braids,347,55.9162,-3.203
S02000348,Clovenstone and Drumbryden,348,55.9168,-3.2757
S02000349,The Inch,349,55.9198,-3.156
S02000350,Calders,350,55.9185,-3.2925
S02000351,Craiglockhart,351,55.9221,-3.2412
S02000352,Craighouse and South Morningside,352,55.9224,-3.2231
S02000353,Parkhead,353,55.9228,-3.2781
S02000354,Greendykes and Niddrie Mains,354,55.9245,-3.133
S02000355,Blackford,355,55.9248,-3.1771
S02000356,Longstone and Saughton Mains,356,55.9249,-3.2632
S02000357,Morningside,357,55.9271,-3.2023
S02000358,Broomhouse and Sighthill,358,55.9272,-3.2842
S02000359,Hutchison and Moat,359,55.9293,-3.2471
S02000360,Merchiston and Greenhill,360,55.9314,-3.215
S02000361,Grange,361,55.9321,-3.1858
S02000362,Niddrie,362,55.9327,-3.1228
S02000363,South Gyle,363,55.9324,-3.3067
S02000364,Prestonfield,364,55.9341,-3.1569
S02000365,Shandon,365,55.9335,-3.2278
S02000366,Forrester Park and Broomhall,366,55.9339,-3.2858
S02000367,Stenhouse,367,55.9347,-3.2602
S02000368,"Jewel, Brunstane and Newcraighall",368,55.9367,-3.0976
S02000369,"Ratho, Gogarburn and Airport",369,55.9345,-3.3592
S02000370,Dalkeith Rd,370,55.9369,-3.1713
S02000371,Marchmont West,371,55.9374,-3.1994
S02000372,Carrick Knowe,372,55.937,-3.2743
S02000373,Gorgie West,373,55.9373,-3.2404
S02000374,Marchmont East and Sciennes,374,55.938,-3.1883
S02000375,Polwarth,375,55.9381,-3.2222
S02000376,Bruntsfield,376,55.9385,-3.2104
S02000377,Gorgie East,377,55.94,-3.2291
S02000378,"Bingham, Magdalene and the Christians",378,55.9412,-3.1126
S02000379,Meadows,379,55.9424,-3.1901
S02000380,Balgreen and Roseburn,380,55.9423,-3.2473
S02000381,Dalry and Fountainbridge,381,55.9428,-3.2165
S02000382,Willowbrae and Duddingston Village,382,55.9438,-3.1429
S02000383,Corstorphine,383,55.9437,-3.2782
S02000384,Duddingston,384,55.9456,-3.1218
S02000385,Tollcross,385,55.9458,-3.2059
S02000386,Joppa,386,55.9469,-3.0958
S02000387,Southside and Canongate,387,55.9475,-3.1661
S02000388,East Craigs,388,55.9464,-3.3033
S02000389,"Dean, West End and West Coates",389,55.9493,-3.2209
S02000390,Murrayfield and Ravelston,390,55.9498,-3.2441
S02000391,Kirkliston,391,55.9483,-3.4092
S02000392,Northfield,392,55.9515,-3.139
S02000393,Old Town and Leith Street,393,55.9512,-3.1917
S02000394,Clerwood and Corstorphine (Hillview),394,55.9507,-3.2836
S02000395,Mountcastle,395,55.9524,-3.1333
S02000396,Portobello,396,55.9551,-3.1185
S02000397,Blackhall,397,55.9552,-3.2596
S02000398,New Town West,398,55.9565,-3.2019
S02000399,Bughtlin and Parkgrove,399,55.9556,-3.3023
S02000400,Clermiston,400,55.9559,-3.2893
S02000401,"Abbeyhill, Meadowbank and Marionville",401,55.9575,-3.1614
S02000402,Hillside and Calton Hill,402,55.9574,-3.1778
S02000403,Restalrig (Loganlea),403,55.9594,-3.1449
S02000404,Stockbridge,404,55.9589,-3.2107
S02000405,New Town East,405,55.9598,-3.1908
S02000406,Craigentinny,406,55.9609,-3.135
S02000407,Craigleith,407,55.9601,-3.2333
S02000408,Comely Bank,408,55.9606,-3.2237
S02000409,Lorne,409,55.9625,-3.1701
S02000410,Restalrig and Lochend,410,55.9631,-3.153
S02000411,Drylaw,411,55.9645,-3.2474
S02000412,Broughton,412,55.965,-3.1904
S02000413,Barnton and Cammo,413,55.9654,-3.2979
S02000414,Hermitage Park and Prospect Bank,414,55.9672,-3.1579
S02000415,Inverleith,415,55.9673,-3.2104
S02000416,South Leith,416,55.9683,-3.168
S02000417,Silverknowes and Davidson's Mains,417,55.968,-3.2768
S02000418,Bonnington and Pilrig,418,55.9692,-3.1818
S02000419,Muirhouse,419,55.9703,-3.258
S02000420,Great Junction Street,420,55.9719,-3.1755
S02000421,Cramond,421,55.9715,-3.3045
S02000422,West Pilton,422,55.9723,-3.2445
S02000423,Boswall and Pilton,423,55.9733,-3.2257
S02000424,East Trinity and Bonnyhaugh,424,55.9748,-3.1944
S02000425,Trinity,425,55.9758,-3.21
S02000426,Leith Docks,426,55.9778,-3.165
S02000427,North Leith and Newhaven,427,55.9782,-3.1869
S02000428,Waterfront and Granton,428,55.9788,-3.247
S02000429,South Queensferry (East) and Dalmeny,429,55.9792,-3.3681
S02000430,South Queensferry West,430,55.989,-3.416
S02000431,Barra and South Uist,431,57.1976,-7.3565
S02000432,Benbecula and North Ui,432,57.5705,-7.2914
S02000433,Harris,433,57.9053,-6.9012
S02000434,South Lewis,434,58.0908,-6.7235
S02000435,Point,435,58.216,-6.2327
S02000436,Stornoway East,436,58.2159,-6.3645
S02000437,Stornoway West,437,58.2179,-6.3996
S02000438,Broadbay,438,58.2787,-6.3859
S02000439,Northwest Lewis,439,58.3209,-6.5153
S02000440,Braes Villages,440,55.9403,-3.7744
S02000441,Shieldhill,441,55.967,-3.7908
S02000442,Maddiston and Rumford,442,55.9766,-3.6805
S02000443,"Lochgreen, Lionthorn and Prospecthill",443,55.9758,-3.8354
S02000444,"Brightons, Reddingmuirhead and Wallacest",444,55.9798,-3.7334
S02000445,Banknock and Haggs,445,55.983,-3.9382
S02000446,Hallglen and Glen Village,446,55.9858,-3.7771
S02000447,Redding,447,55.9896,-3.7306
S02000448,High Bonnybridge and Greenhill,448,55.9889,-3.8776
S02000449,Polmont,449,55.9927,-3.6948
S02000450,Laurieston and Westquarter,450,55.9948,-3.7477
S02000451,Kinneil,451,55.9986,-3.6412
S02000452,Falkirk Town Centre and Callendar Park,452,55.9976,-3.7755
S02000453,Bantaskin,453,55.998,-3.7979
S02000454,Douglas,454,56.0016,-3.564
S02000455,Tamfourhill,455,55.9982,-3.8197
S02000456,Bowhouse,456,56.0035,-3.7166
S02000457,"Blackness, Carriden and Grahamsdyke",457,56.0068,-3.606
S02000458,Camelon West,458,56.0039,-3.8306
S02000459,Camelon East,459,56.005,-3.8135
S02000460,Grahamston,460,56.0056,-3.782
S02000461,Head of Muir and Dennyloanhead,461,56.0044,-3.9103
S02000462,Middlefield,462,56.0069,-3.7667
S02000463,Newlands,463,56.008,-3.7358
S02000464,Kersiebank,464,56.0088,-3.7054
S02000465,Bonnybridge,465,56.0092,-3.8881
S02000466,Newtown,466,56.0144,-3.6148
S02000467,Merchiston and New Carron Village,467,56.0127,-3.7918
S02000468,Grangemouth Town Centre,468,56.0155,-3.6934
S02000469,Nethermains,469,56.016,-3.9153
S02000470,Bainsford and Langlees,470,56.0186,-3.7837
S02000471,Larbert Village and South Broomage,471,56.0179,-3.8287
S02000472,Stenhousemuir East,472,56.0193,-3.8063
S02000473,"Fankerton, Stoneywood and Denny Town",473,56.0172,-3.9686
S02000474,Carron,474,56.0259,-3.7912
S02000475,Stenhousemuir West,475,56.0258,-3.8193
S02000476,Carronshore,476,56.0289,-3.7805
S02000477,North Broomage and Inches,477,56.0326,-3.8537
S02000478,Antonshill,478,56.0337,-3.8065
S02000479,Dunipace,479,56.0356,-3.9196
S02000480,Carse and Grangemouth Old Town,480,56.0525,-3.7728
S02000481,North Queensferry and Inverkeithing West,481,56.026,-3.397
S02000482,Rosyth South,482,56.0298,-3.4373
S02000483,Inverkeithing East,483,56.0308,-3.3916
S02000484,Dalgety Bay Central,484,56.0318,-3.3581
S02000485,Dalgety Bay West and Hillend,485,56.0348,-3.3742
S02000486,Rosyth Central,486,56.0356,-3.4205
S02000487,Dalgety Bay East,487,56.0412,-3.3482
S02000488,Rosyth East,488,56.0405,-3.4154
S02000489,Rosyth North,489,56.0433,-3.4332
S02000490,Cairneyhill and Crombie,490,56.0536,-3.5298
S02000491,"Crossford, Charleston and Limekilns",491,56.0549,-3.4822
S02000492,Dunfermline Pitcorthie West,492,56.0565,-3.4342
S02000493,Dunfermline East and Pitcorthie East,493,56.058,-3.4069
S02000494,Dunfermline Abbeyview South,494,56.0626,-3.4224
S02000495,Burntisland East,495,56.0652,-3.2245
S02000496,Dunfermline Brucefield,496,56.0638,-3.4482
S02000497,Dunfermline Abbeyview North,497,56.066,-3.4264
S02000498,Crossgates and Halbeath,498,56.0686,-3.3777
S02000499,Dunfermline Central,499,56.0683,-3.459
S02000500,Burntisland West,500,56.071,-3.2441
S02000501,"Valleyfield, Culross and Torryburn",501,56.0681,-3.5977
S02000502,Dunfermline Touch and Woodmill,502,56.071,-3.4293
S02000503,Dunfermline Garvock Hill,503,56.0726,-3.4396
S02000504,Dunfermline Baldridgeburn,504,56.0752,-3.4699
S02000505,Dunfermline Headwell,505,56.0785,-3.4487
S02000506,Kincardine,506,56.0756,-3.6926
S02000507,Kinghorn,507,56.0825,-3.1859
S02000508,Aberdour and Auchtertool,508,56.0815,-3.2982
S02000509,Dunfermline Bellyeoman,509,56.0803,-3.4266
S02000510,Dunfermline Milesmark and Wellwood,510,56.0825,-3.4751
S02000511,"Oakley, Comrie and Blairhall",511,56.0932,-3.6274
S02000512,Kirkcaldy Linktown and Seafield,512,56.0997,-3.1646
S02000513,Dunfermline Townhill and Kingseat,513,56.0977,-3.4036
S02000514,Hill of Beath,514,56.0993,-3.36
S02000515,Cowdenbeath South,515,56.1078,-3.35
