hb_code,ind_no,ind_name,year,number,measure,lci,uci
S08000010,28,% of diabetes pop (T2) with recorded HbA1c,2012,28675,93.29754352,93.01252685,93.57173793
S08000011,28,% of diabetes pop (T2) with recorded HbA1c,2012,854,97.37742303,96.09539993,98.24619339
S08000012,28,% of diabetes pop (T2) with recorded HbA1c,2012,829,94.09761635,92.34156709,95.47076
S08000013,28,% of diabetes pop (T2) with recorded HbA1c,2012,18044,95.94810167,95.65678079,96.22065426
S08000014,28,% of diabetes pop (T2) with recorded HbA1c,2012,1028,96.07476636,94.73678851,97.08308511
S00000001,29,% of diabetes pop (T1) with recorded BP,2012,24574,85.1814621,84.76679535,85.5867604
S08000001,29,% of diabetes pop (T1) with recorded BP,2012,1808,81.73598553,80.07126348,83.29066636
S08000002,29,% of diabetes pop (T1) with recorded BP,2012,556,88.81789137,86.10853571,91.05372223
S08000003,29,% of diabetes pop (T1) with recorded BP,2012,764,85.93925759,83.49920734,88.07003854
S08000004,29,% of diabetes pop (T1) with recorded BP,2012,1671,84.13897281,82.46657813,85.67954968
S08000005,29,% of diabetes pop (T1) with recorded BP,2012,1396,84.70873786,82.89050958,86.36552563
S08000006,29,% of diabetes pop (T1) with recorded BP,2012,2674,85.45861298,84.17993339,86.65033138
S08000007,29,% of diabetes pop (T1) with recorded BP,2012,5509,86.53785737,85.67732386,87.3543195
S08000008,29,% of diabetes pop (T1) with recorded BP,2012,1488,82.98940323,81.18015185,84.65759367
S08000009,29,% of diabetes pop (T1) with recorded BP,2012,2910,81.17154812,79.8586942,82.41766818
S08000010,29,% of diabetes pop (T1) with recorded BP,2012,3789,88.48668846,87.49596643,89.40841566
S08000011,29,% of diabetes pop (T1) with recorded BP,2012,105,88.23529412,81.2178118,92.86132751
S08000012,29,% of diabetes pop (T1) with recorded BP,2012,89,69.53125,61.08473759,76.83955944
S08000013,29,% of diabetes pop (T1) with recorded BP,2012,1666,87.63808522,86.08208937,89.04226743
S08000014,29,% of diabetes pop (T1) with recorded BP,2012,149,80.54054054,74.2386706,85.59983956
S00000001,30,% of diabetes pop (T2) with recorded BP,2012,215702,94.61983533,94.52646026,94.71170659
S08000001,30,% of diabetes pop (T2) with recorded BP,2012,18106,96.3136337,96.03467353,96.57366924
S08000002,30,% of diabetes pop (T2) with recorded BP,2012,4982,96.5503876,96.01678009,97.0147335
S08000003,30,% of diabetes pop (T2) with recorded BP,2012,7070,93.91604676,93.35333893,94.43395602
S08000004,30,% of diabetes pop (T2) with recorded BP,2012,16072,94.374633,94.0184593,94.7107913
S08000005,30,% of diabetes pop (T2) with recorded BP,2012,12417,94.85142464,94.45953324,95.21700015
S08000006,30,% of diabetes pop (T2) with recorded BP,2012,21266,96.50133866,96.25051579,96.73595166
S08000007,30,% of diabetes pop (T2) with recorded BP,2012,48849,93.515966,93.3015773,93.72395456
S08000008,30,% of diabetes pop (T2) with recorded BP,2012,12462,94.48066717,94.07784129,94.85759052
S08000009,30,% of diabetes pop (T2) with recorded BP,2012,24441,92.13631394,91.80625666,92.45416876
S08000010,30,% of diabetes pop (T2) with recorded BP,2012,29487,95.93948267,95.71301782,96.15446491
S08000011,30,% of diabetes pop (T2) with recorded BP,2012,860,98.06157355,96.91764458,98.78628221
S08000012,30,% of diabetes pop (T2) with recorded BP,2012,622,70.6015891,67.5089396,73.5153522
S08000013,30,% of diabetes pop (T2) with recorded BP,2012,18056,96.01191109,95.72271016,96.28231768
S08000014,30,% of diabetes pop (T2) with recorded BP,2012,1012,94.57943925,93.05632757,95.78359072
S00000001,31,% of diabetes pop (T1) with recorded cholesterol,2012,20993,81.21711544,80.73633525,81.68861787
S08000001,31,% of diabetes pop (T1) with recorded cholesterol,2012,1626,83.12883436,81.40458935,84.72320384
S08000002,31,% of diabetes pop (T1) with recorded cholesterol,2012,487,88.22463768,85.26790854,90.6530013
S08000003,31,% of diabetes pop (T1) with recorded cholesterol,2012,672,83.16831683,80.43285363,85.58987789
S08000004,31,% of diabetes pop (T1) with recorded cholesterol,2012,1450,81.32361189,79.44797339,83.06456269
S08000005,31,% of diabetes pop (T1) with recorded cholesterol,2012,1247,85.70446735,83.81179017,87.4091018
S08000006,31,% of diabetes pop (T1) with recorded cholesterol,2012,2277,81.49606299,80.01322003,82.89241408
S08000007,31,% of diabetes pop (T1) with recorded cholesterol,2012,4474,77.98500959,76.89427151,79.03829419
S08000008,31,% of diabetes pop (T1) with recorded cholesterol,2012,1348,84.51410658,82.65592436,86.20643198
S08000009,31,% of diabetes pop (T1) with recorded cholesterol,2012,2430,76.97180868,75.47091735,78.40713842
S08000010,31,% of diabetes pop (T1) with recorded cholesterol,2012,3295,83.86357852,82.68030201,84.98069913
S08000011,31,% of diabetes pop (T1) with recorded cholesterol,2012,99,95.19230769,89.23565255,97.92922631
S08000012,31,% of diabetes pop (T1) with recorded cholesterol,2012,101,88.59649123,81.46297224,93.21354268
S08000013,31,% of diabetes pop (T1) with recorded cholesterol,2012,1337,78.69334903,76.68264778,80.57458625
S08000014,31,% of diabetes pop (T1) with recorded cholesterol,2012,150,90.90909091,85.54318404,94.41341434
S00000001,32,% of diabetes pop (T2) with recorded cholesterol,2012,208795,91.64307503,91.52873489,91.75601088
S08000001,32,% of diabetes pop (T2) with recorded cholesterol,2012,17713,94.23813577,93.89587404,94.56231808
S08000002,32,% of diabetes pop (T2) with recorded cholesterol,2012,4742,91.97051978,91.19712274,92.68142113
S08000003,32,% of diabetes pop (T2) with recorded cholesterol,2012,6885,91.48285942,90.83084795,92.09254316
S08000004,32,% of diabetes pop (T2) with recorded cholesterol,2012,15964,93.79553467,93.42313175,94.14817178
S08000005,32,% of diabetes pop (T2) with recorded cholesterol,2012,11583,88.50767938,87.9499176,89.04284045
S08000006,32,% of diabetes pop (T2) with recorded cholesterol,2012,20777,94.29518018,93.98113877,94.59377866
S08000007,32,% of diabetes pop (T2) with recorded cholesterol,2012,46706,89.45110507,89.18470957,89.71169583
S08000008,32,% of diabetes pop (T2) with recorded cholesterol,2012,11977,90.81052392,90.30555001,91.29173075
S08000009,32,% of diabetes pop (T2) with recorded cholesterol,2012,23579,89.13881748,88.7581464,89.50812203
S08000010,32,% of diabetes pop (T2) with recorded cholesterol,2012,28409,92.44110374,92.14022581,92.73137244
S08000011,32,% of diabetes pop (T2) with recorded cholesterol,2012,841,95.89509692,94.36947673,97.02039404
S08000012,32,% of diabetes pop (T2) with recorded cholesterol,2012,805,91.37343927,89.33519684,93.0524305
S08000013,32,% of diabetes pop (T2) with recorded cholesterol,2012,17837,94.87261316,94.54807415,95.17881832
S08000014,32,% of diabetes pop (T2) with recorded cholesterol,2012,977,91.30841121,89.46919984,92.85206617
S00000001,33,% of diabetes pop (T1) with a recorded smoking status,2012,26147,90.63399078,90.29234719,90.96481398
S08000001,33,% of diabetes pop (T1) with a recorded smoking status,2012,1984,89.6925859,88.35588417,90.89165771
S08000002,33,% of diabetes pop (T1) with a recorded smoking status,2012,553,88.33865815,85.58730609,90.62233138
S08000003,33,% of diabetes pop (T1) with a recorded smoking status,2012,847,95.27559055,93.67555539,96.48601414
S08000004,33,% of diabetes pop (T1) with a recorded smoking status,2012,1826,91.94360524,90.66403673,93.0612206
S08000005,33,% of diabetes pop (T1) with a recorded smoking status,2012,1570,95.26699029,94.13229019,96.19114034
S08000006,33,% of diabetes pop (T1) with a recorded smoking status,2012,2751,87.91946309,86.73078987,89.01513996
S08000007,33,% of diabetes pop (T1) with a recorded smoking status,2012,5587,87.76311656,86.93522861,88.54545525
S08000008,33,% of diabetes pop (T1) with a recorded smoking status,2012,1689,94.19966537,93.02022693,95.19010836
S08000009,33,% of diabetes pop (T1) with a recorded smoking status,2012,2965,82.70571827,81.43284858,83.90856966
S08000010,33,% of diabetes pop (T1) with a recorded smoking status,2012,4188,97.80476413,97.32113587,98.2026931
S08000011,33,% of diabetes pop (T1) with a recorded smoking status,2012,111,93.27731092,87.29335076,96.55446626
S08000012,33,% of diabetes pop (T1) with a recorded smoking status,2012,123,96.09375,91.18117731,98.32016369
S08000013,33,% of diabetes pop (T1) with a recorded smoking status,2012,1777,93.47711731,92.27705633,94.50181284
S08000014,33,% of diabetes pop (T1) with a recorded smoking status,2012,176,95.13513514,91.01411172,97.41979267
S00000001,34,% of diabetes pop (T2) with a recorded smoking status,2012,218533,95.86168173,95.77914337,95.94267444
S08000001,34,% of diabetes pop (T2) with a recorded smoking status,2012,18105,96.30831427,96.02916853,96.56853755
S08000002,34,% of diabetes pop (T2) with a recorded smoking status,2012,4661,90.32945736,89.49275781,91.10615134
S08000003,34,% of diabetes pop (T2) with a recorded smoking status,2012,7488,99.46865037,99.27730458,99.6095334
S08000004,34,% of diabetes pop (T2) with a recorded smoking status,2012,16378,96.17146213,95.87269736,96.44940102
S08000005,34,% of diabetes pop (T2) with a recorded smoking status,2012,12376,94.53823237,94.13574394,94.91458867
S08000006,34,% of diabetes pop (T2) with a recorded smoking status,2012,20809,94.42755366,94.11687045,94.7227499
S08000007,34,% of diabetes pop (T2) with a recorded smoking status,2012,49489,94.74117467,94.54644434,94.92932466
S08000008,34,% of diabetes pop (T2) with a recorded smoking status,2012,13159,99.76497346,99.66659646,99.83437072
S08000009,34,% of diabetes pop (T2) with a recorded smoking status,2012,24028,90.57940966,90.22197744,90.92509028
S08000010,34,% of diabetes pop (T2) with a recorded smoking status,2012,30668,99.78200748,99.72327749,99.82829442
S08000011,34,% of diabetes pop (T2) with a recorded smoking status,2012,860,98.06157355,96.91764458,98.78628221
S08000012,34,% of diabetes pop (T2) with a recorded smoking status,2012,877,99.54597049,98.83842433,99.82330224
S08000013,34,% of diabetes pop (T2) with a recorded smoking status,2012,18581,98.80357333,98.63790744,98.94930456
S08000014,34,% of diabetes pop (T2) with a recorded smoking status,2012,1054,98.5046729,97.5847896,99.07751143
S00000001,37,% of diabetes pop (T1) with recorded creatinine,2012,23160,83.38433843,82.94197358,83.81746969
S08000001,37,% of diabetes pop (T1) with recorded creatinine,2012,1848,86.92380056,85.4238194,88.29058264
S08000002,37,% of diabetes pop (T1) with recorded creatinine,2012,523,87.31218698,84.40683608,89.74199506
S08000003,37,% of diabetes pop (T1) with recorded creatinine,2012,700,81.20649652,78.46218467,83.67389195
S08000004,37,% of diabetes pop (T1) with recorded creatinine,2012,1641,85.69190601,84.05207933,87.18881934
S08000005,37,% of diabetes pop (T1) with recorded creatinine,2012,1415,89.10579345,87.47792936,90.5449091
S08000006,37,% of diabetes pop (T1) with recorded creatinine,2012,2550,84.63325589,83.30150944,85.87679943
S08000007,37,% of diabetes pop (T1) with recorded creatinine,2012,4944,80.56053446,79.55143627,81.53139641
S08000008,37,% of diabetes pop (T1) with recorded creatinine,2012,1333,77.36506094,75.32949594,79.27887115
S08000009,37,% of diabetes pop (T1) with recorded creatinine,2012,2639,77.18631179,75.74964561,78.56195327
S08000010,37,% of diabetes pop (T1) with recorded creatinine,2012,3565,85.82089552,84.72694791,86.84865035
S08000011,37,% of diabetes pop (T1) with recorded creatinine,2012,107,93.85964912,87.86556597,96.99411007
S08000012,37,% of diabetes pop (T1) with recorded creatinine,2012,112,93.33333333,87.39473292,96.58351025
S08000013,37,% of diabetes pop (T1) with recorded creatinine,2012,1612,88.2803943,86.72404026,89.67601535
S08000014,37,% of diabetes pop (T1) with recorded creatinine,2012,171,95.53072626,91.42995723,97.71824537
S00000001,38,% of diabetes pop (T2) with recorded creatinine,2012,213603,93.74103087,93.64083497,93.83975193
S08000001,38,% of diabetes pop (T2) with recorded creatinine,2012,18181,96.71773593,96.45333122,96.96304986
S08000002,38,% of diabetes pop (T2) with recorded creatinine,2012,4565,88.50329585,87.60396673,89.34531431
S08000003,38,% of diabetes pop (T2) with recorded creatinine,2012,6947,92.30667021,91.68278182,92.88739028
S08000004,38,% of diabetes pop (T2) with recorded creatinine,2012,16378,96.21100864,95.91360356,96.48756143
S08000005,38,% of diabetes pop (T2) with recorded creatinine,2012,12533,95.75947433,95.40059727,96.09149655
S08000006,38,% of diabetes pop (T2) with recorded creatinine,2012,21271,96.52402777,96.27395983,96.75787794
S08000007,38,% of diabetes pop (T2) with recorded creatinine,2012,48177,92.2595224,92.02719227,92.48563516
S08000008,38,% of diabetes pop (T2) with recorded creatinine,2012,11457,86.86125853,86.27397755,87.42707401
S08000009,38,% of diabetes pop (T2) with recorded creatinine,2012,24304,91.85879507,91.52316572,92.18227071
S08000010,38,% of diabetes pop (T2) with recorded creatinine,2012,28800,93.70424597,93.42720033,93.9703677
S08000011,38,% of diabetes pop (T2) with recorded creatinine,2012,829,94.5267959,92.8179784,95.84722542
S08000012,38,% of diabetes pop (T2) with recorded creatinine,2012,848,96.25425653,94.78629716,97.32058389
S08000013,38,% of diabetes pop (T2) with recorded creatinine,2012,18275,97.18160064,96.93524758,97.40868055
S08000014,38,% of diabetes pop (T2) with recorded creatinine,2012,1038,97.00934579,95.80861631,97.87372939
S00000001,39,% of diabetes pop (T1) with recorded microalbumin,2012,16851,60.66966697,60.09374431,61.24263855
S08000001,39,% of diabetes pop (T1) with recorded microalbumin,2012,1097,51.59924741,49.4739466,53.71877909
S08000002,39,% of diabetes pop (T1) with recorded microalbumin,2012,341,56.92821369,52.9309276,60.83719988
S08000003,39,% of diabetes pop (T1) with recorded microalbumin,2012,209,24.24593968,21.50322793,27.21718467
S08000004,39,% of diabetes pop (T1) with recorded microalbumin,2012,1353,70.65274151,68.57353456,72.64925319
S08000005,39,% of diabetes pop (T1) with recorded microalbumin,2012,898,56.54911839,54.09815332,58.96847341
S08000006,39,% of diabetes pop (T1) with recorded microalbumin,2012,2000,66.37902423,64.67226032,68.04407454
S08000007,39,% of diabetes pop (T1) with recorded microalbumin,2012,3618,58.95388626,57.717906,60.17866375
S08000008,39,% of diabetes pop (T1) with recorded microalbumin,2012,994,57.69007545,55.34266047,60.00327514
S08000009,39,% of diabetes pop (T1) with recorded microalbumin,2012,1706,49.89763089,48.22268039,51.57281117
S08000010,39,% of diabetes pop (T1) with recorded microalbumin,2012,3110,74.8675975,73.52590316,76.16333945
S08000011,39,% of diabetes pop (T1) with recorded microalbumin,2012,85,74.56140351,65.85664892,81.66476966
S08000012,39,% of diabetes pop (T1) with recorded microalbumin,2012,97,80.83333333,72.878683,86.87506695
S08000013,39,% of diabetes pop (T1) with recorded microalbumin,2012,1210,66.26506024,64.0642792,68.39754701
S08000014,39,% of diabetes pop (T1) with recorded microalbumin,2012,133,74.30167598,67.43665161,80.14551787
S00000001,40,% of diabetes pop (T2) with recorded microalbumin,2012,157564,69.14796042,68.95799066,69.33728455
S08000001,40,% of diabetes pop (T2) with recorded microalbumin,2012,12299,65.4271731,64.74418046,66.10386157
S08000002,40,% of diabetes pop (T2) with recorded microalbumin,2012,113,2.190771617,1.825431263,2.627274144
S08000003,40,% of diabetes pop (T2) with recorded microalbumin,2012,2514,33.40419878,32.3472948,34.47803656
S08000004,40,% of diabetes pop (T2) with recorded microalbumin,2012,13893,81.61311167,81.02406923,82.187889
S08000005,40,% of diabetes pop (T2) with recorded microalbumin,2012,9113,69.62866748,68.83514893,70.41066657
S08000006,40,% of diabetes pop (T2) with recorded microalbumin,2012,18297,83.02854291,82.52717108,83.51840134
S08000007,40,% of diabetes pop (T2) with recorded microalbumin,2012,35337,67.67077118,67.26830323,68.07063933
